No,CASHTAG,NAME,PRICE,CLOSE,CHG,%CHG,VOLUME,HIGH,LOW,BUY (QTY),SELL (QTY)
0,$REN3,3REN BERHAD,0.255,0.25,0.010,4.080%,2179100,0.26,0.25,0.250 (495200),0.255 (138100)
1,$SEVE,7-ELEVEN M'SIA,1.990,1.99,0.000,0.000%,0,1.99,1.99,1.980 (500),2.000 (116900)
2,$SPEE,99 SPEED MART RE,2.250,2.26,-0.010,-0.440%,2148800,2.26,2.23,2.250 (314500),2.260 (294400)
3,$ARNK,A-RANK BHD,0.435,0.44,0.000,0.000%,0,0.45,0.44,0.425 (4500),0.480 (7000)
4,$A1AK,A1 A K  KOH,0.245,0.00,0.000,0.000%,21613200,0.26,0.25,0.245 (2661700),0.250 (5468300)
5,$ABLE,ABLE GLOBAL,1.520,1.53,-0.010,-0.650%,94000,1.52,1.51,1.510 (59600),1.520 (19000)
6,$ABEL,ABLEGROUP BHD,0.070,0.08,-0.005,-6.670%,53700,0.08,0.07,0.070 (458700),0.075 (27800)
7,$ABMF,ABM FUJIYA BHD,0.290,0.32,-0.030,-9.380%,190700,0.30,0.28,0.275 (5000),0.285 (38300)
8,$ACME,ACME HOLDGS BHD,0.125,0.13,-0.005,-3.850%,11000,0.13,0.13,0.125 (20000),0.130 (500)
9,$ACOG,ACO GROUP BERHAD,0.205,0.20,0.005,2.500%,60200,0.21,0.20,0.200 (72000),0.205 (135400)
10,$REN3,3REN BERHAD,0.255,0.25,0.010,4.080%,2179100,0.26,0.25,0.250 (495200),0.255 (138100)
11,$SEVE,7-ELEVEN M'SIA,1.990,1.99,0.000,0.000%,0,1.99,1.99,1.980 (500),2.000 (116900)
12,$SPEE,99 SPEED MART RE,2.250,2.26,-0.010,-0.440%,2148800,2.26,2.23,2.250 (314500),2.260 (294400)
13,$ARNK,A-RANK BHD,0.435,0.44,0.000,0.000%,0,0.45,0.44,0.425 (4500),0.480 (7000)
14,$A1AK,A1 A K  KOH,0.245,0.00,0.000,0.000%,21613200,0.26,0.25,0.245 (2661700),0.250 (5468300)
15,$ABLE,ABLE GLOBAL,1.520,1.53,-0.010,-0.650%,94000,1.52,1.51,1.510 (59600),1.520 (19000)
16,$ABEL,ABLEGROUP BHD,0.070,0.08,-0.005,-6.670%,53700,0.08,0.07,0.070 (458700),0.075 (27800)
17,$ABMF,ABM FUJIYA BHD,0.290,0.32,-0.030,-9.380%,190700,0.30,0.28,0.275 (5000),0.285 (38300)
18,$ACME,ACME HOLDGS BHD,0.125,0.13,-0.005,-3.850%,11000,0.13,0.13,0.125 (20000),0.130 (500)
19,$ACOG,ACO GROUP BERHAD,0.205,0.20,0.005,2.500%,60200,0.21,0.20,0.200 (72000),0.205 (135400)
20,$REN3,3REN BERHAD,0.255,0.25,0.010,4.080%,2179100,0.26,0.25,0.250 (495200),0.255 (138100)
21,$SEVE,7-ELEVEN M'SIA,1.990,1.99,0.000,0.000%,0,1.99,1.99,1.980 (500),2.000 (116900)
22,$SPEE,99 SPEED MART RE,2.250,2.26,-0.010,-0.440%,2148800,2.26,2.23,2.250 (314500),2.260 (294400)
23,$ARNK,A-RANK BHD,0.435,0.44,0.000,0.000%,0,0.45,0.44,0.425 (4500),0.480 (7000)
24,$A1AK,A1 A K  KOH,0.245,0.00,0.000,0.000%,21613200,0.26,0.25,0.245 (2661700),0.250 (5468300)
25,$ABLE,ABLE GLOBAL,1.520,1.53,-0.010,-0.650%,94000,1.52,1.51,1.510 (59600),1.520 (19000)
26,$ABEL,ABLEGROUP BHD,0.070,0.08,-0.005,-6.670%,53700,0.08,0.07,0.070 (458700),0.075 (27800)
27,$ABMF,ABM FUJIYA BHD,0.290,0.32,-0.030,-9.380%,190700,0.30,0.28,0.275 (5000),0.285 (38300)
28,$ACME,ACME HOLDGS BHD,0.125,0.13,-0.005,-3.850%,11000,0.13,0.13,0.125 (20000),0.130 (500)
29,$ACOG,ACO GROUP BERHAD,0.205,0.20,0.005,2.500%,60200,0.21,0.20,0.200 (72000),0.205 (135400)
30,$REN3,3REN BERHAD,0.255,0.25,0.010,4.080%,2179100,0.26,0.25,0.250 (495200),0.255 (138100)
31,$SEVE,7-ELEVEN M'SIA,1.990,1.99,0.000,0.000%,0,1.99,1.99,1.980 (500),2.000 (116900)
32,$SPEE,99 SPEED MART RE,2.250,2.26,-0.010,-0.440%,2148800,2.26,2.23,2.250 (314500),2.260 (294400)
33,$ARNK,A-RANK BHD,0.435,0.44,0.000,0.000%,0,0.45,0.44,0.425 (4500),0.480 (7000)
34,$A1AK,A1 A K  KOH,0.245,0.00,0.000,0.000%,21613200,0.26,0.25,0.245 (2661700),0.250 (5468300)
35,$ABLE,ABLE GLOBAL,1.520,1.53,-0.010,-0.650%,94000,1.52,1.51,1.510 (59600),1.520 (19000)
36,$ABEL,ABLEGROUP BHD,0.070,0.08,-0.005,-6.670%,53700,0.08,0.07,0.070 (458700),0.075 (27800)
37,$ABMF,ABM FUJIYA BHD,0.290,0.32,-0.030,-9.380%,190700,0.30,0.28,0.275 (5000),0.285 (38300)
38,$ACME,ACME HOLDGS BHD,0.125,0.13,-0.005,-3.850%,11000,0.13,0.13,0.125 (20000),0.130 (500)
39,$ACOG,ACO GROUP BERHAD,0.205,0.20,0.005,2.500%,60200,0.21,0.20,0.200 (72000),0.205 (135400)
40,$REN3,3REN BERHAD,0.255,0.25,0.010,4.080%,2179100,0.26,0.25,0.250 (495200),0.255 (138100)
41,$SEVE,7-ELEVEN M'SIA,1.990,1.99,0.000,0.000%,0,1.99,1.99,1.980 (500),2.000 (116900)
42,$SPEE,99 SPEED MART RE,2.250,2.26,-0.010,-0.440%,2148800,2.26,2.23,2.250 (314500),2.260 (294400)
43,$ARNK,A-RANK BHD,0.435,0.44,0.000,0.000%,0,0.45,0.44,0.425 (4500),0.480 (7000)
44,$A1AK,A1 A K  KOH,0.245,0.00,0.000,0.000%,21613200,0.26,0.25,0.245 (2661700),0.250 (5468300)
45,$ABLE,ABLE GLOBAL,1.520,1.53,-0.010,-0.650%,94000,1.52,1.51,1.510 (59600),1.520 (19000)
46,$ABEL,ABLEGROUP BHD,0.070,0.08,-0.005,-6.670%,53700,0.08,0.07,0.070 (458700),0.075 (27800)
47,$ABMF,ABM FUJIYA BHD,0.290,0.32,-0.030,-9.380%,190700,0.30,0.28,0.275 (5000),0.285 (38300)
48,$ACME,ACME HOLDGS BHD,0.125,0.13,-0.005,-3.850%,11000,0.13,0.13,0.125 (20000),0.130 (500)
49,$ACOG,ACO GROUP BERHAD,0.205,0.20,0.005,2.500%,60200,0.21,0.20,0.200 (72000),0.205 (135400)
50,$REN3,3REN BERHAD,0.255,0.25,0.010,4.080%,2179100,0.26,0.25,0.250 (495200),0.255 (138100)
51,$SEVE,7-ELEVEN M'SIA,1.990,1.99,0.000,0.000%,0,1.99,1.99,1.980 (500),2.000 (116900)
52,$SPEE,99 SPEED MART RE,2.250,2.26,-0.010,-0.440%,2148800,2.26,2.23,2.250 (314500),2.260 (294400)
53,$ARNK,A-RANK BHD,0.435,0.44,0.000,0.000%,0,0.45,0.44,0.425 (4500),0.480 (7000)
54,$A1AK,A1 A K  KOH,0.245,0.00,0.000,0.000%,21613200,0.26,0.25,0.245 (2661700),0.250 (5468300)
55,$ABLE,ABLE GLOBAL,1.520,1.53,-0.010,-0.650%,94000,1.52,1.51,1.510 (59600),1.520 (19000)
56,$ABEL,ABLEGROUP BHD,0.070,0.08,-0.005,-6.670%,53700,0.08,0.07,0.070 (458700),0.075 (27800)
57,$ABMF,ABM FUJIYA BHD,0.290,0.32,-0.030,-9.380%,190700,0.30,0.28,0.275 (5000),0.285 (38300)
58,$ACME,ACME HOLDGS BHD,0.125,0.13,-0.005,-3.850%,11000,0.13,0.13,0.125 (20000),0.130 (500)
59,$ACOG,ACO GROUP BERHAD,0.205,0.20,0.005,2.500%,60200,0.21,0.20,0.200 (72000),0.205 (135400)
60,$REN3,3REN BERHAD,0.255,0.25,0.010,4.080%,2179100,0.26,0.25,0.250 (495200),0.255 (138100)
61,$SEVE,7-ELEVEN M'SIA,1.990,1.99,0.000,0.000%,0,1.99,1.99,1.980 (500),2.000 (116900)
62,$SPEE,99 SPEED MART RE,2.250,2.26,-0.010,-0.440%,2148800,2.26,2.23,2.250 (314500),2.260 (294400)
63,$ARNK,A-RANK BHD,0.435,0.44,0.000,0.000%,0,0.45,0.44,0.425 (4500),0.480 (7000)
64,$A1AK,A1 A K  KOH,0.245,0.00,0.000,0.000%,21613200,0.26,0.25,0.245 (2661700),0.250 (5468300)
65,$ABLE,ABLE GLOBAL,1.520,1.53,-0.010,-0.650%,94000,1.52,1.51,1.510 (59600),1.520 (19000)
66,$ABEL,ABLEGROUP BHD,0.070,0.08,-0.005,-6.670%,53700,0.08,0.07,0.070 (458700),0.075 (27800)
67,$ABMF,ABM FUJIYA BHD,0.290,0.32,-0.030,-9.380%,190700,0.30,0.28,0.275 (5000),0.285 (38300)
68,$ACME,ACME HOLDGS BHD,0.125,0.13,-0.005,-3.850%,11000,0.13,0.13,0.125 (20000),0.130 (500)
69,$ACOG,ACO GROUP BERHAD,0.205,0.20,0.005,2.500%,60200,0.21,0.20,0.200 (72000),0.205 (135400)
70,$REN3,3REN BERHAD,0.255,0.25,0.010,4.080%,2179100,0.26,0.25,0.250 (495200),0.255 (138100)
71,$SEVE,7-ELEVEN M'SIA,1.990,1.99,0.000,0.000%,0,1.99,1.99,1.980 (500),2.000 (116900)
72,$SPEE,99 SPEED MART RE,2.250,2.26,-0.010,-0.440%,2148800,2.26,2.23,2.250 (314500),2.260 (294400)
73,$ARNK,A-RANK BHD,0.435,0.44,0.000,0.000%,0,0.45,0.44,0.425 (4500),0.480 (7000)
74,$A1AK,A1 A K  KOH,0.245,0.00,0.000,0.000%,21613200,0.26,0.25,0.245 (2661700),0.250 (5468300)
75,$ABLE,ABLE GLOBAL,1.520,1.53,-0.010,-0.650%,94000,1.52,1.51,1.510 (59600),1.520 (19000)
76,$ABEL,ABLEGROUP BHD,0.070,0.08,-0.005,-6.670%,53700,0.08,0.07,0.070 (458700),0.075 (27800)
77,$ABMF,ABM FUJIYA BHD,0.290,0.32,-0.030,-9.380%,190700,0.30,0.28,0.275 (5000),0.285 (38300)
78,$ACME,ACME HOLDGS BHD,0.125,0.13,-0.005,-3.850%,11000,0.13,0.13,0.125 (20000),0.130 (500)
79,$ACOG,ACO GROUP BERHAD,0.205,0.20,0.005,2.500%,60200,0.21,0.20,0.200 (72000),0.205 (135400)
80,$REN3,3REN BERHAD,0.255,0.25,0.010,4.080%,2179100,0.26,0.25,0.250 (495200),0.255 (138100)
81,$SEVE,7-ELEVEN M'SIA,1.990,1.99,0.000,0.000%,0,1.99,1.99,1.980 (500),2.000 (116900)
82,$SPEE,99 SPEED MART RE,2.250,2.26,-0.010,-0.440%,2148800,2.26,2.23,2.250 (314500),2.260 (294400)
83,$ARNK,A-RANK BHD,0.435,0.44,0.000,0.000%,0,0.45,0.44,0.425 (4500),0.480 (7000)
84,$A1AK,A1 A K  KOH,0.245,0.00,0.000,0.000%,21613200,0.26,0.25,0.245 (2661700),0.250 (5468300)
85,$ABLE,ABLE GLOBAL,1.520,1.53,-0.010,-0.650%,94000,1.52,1.51,1.510 (59600),1.520 (19000)
86,$ABEL,ABLEGROUP BHD,0.070,0.08,-0.005,-6.670%,53700,0.08,0.07,0.070 (458700),0.075 (27800)
87,$ABMF,ABM FUJIYA BHD,0.290,0.32,-0.030,-9.380%,190700,0.30,0.28,0.275 (5000),0.285 (38300)
88,$ACME,ACME HOLDGS BHD,0.125,0.13,-0.005,-3.850%,11000,0.13,0.13,0.125 (20000),0.130 (500)
89,$ACOG,ACO GROUP BERHAD,0.205,0.20,0.005,2.500%,60200,0.21,0.20,0.200 (72000),0.205 (135400)
90,$REN3,3REN BERHAD,0.255,0.25,0.010,4.080%,2179100,0.26,0.25,0.250 (495200),0.255 (138100)
91,$SEVE,7-ELEVEN M'SIA,1.990,1.99,0.000,0.000%,0,1.99,1.99,1.980 (500),2.000 (116900)
92,$SPEE,99 SPEED MART RE,2.250,2.26,-0.010,-0.440%,2148800,2.26,2.23,2.250 (314500),2.260 (294400)
93,$ARNK,A-RANK BHD,0.435,0.44,0.000,0.000%,0,0.45,0.44,0.425 (4500),0.480 (7000)
94,$A1AK,A1 A K  KOH,0.245,0.00,0.000,0.000%,21613200,0.26,0.25,0.245 (2661700),0.250 (5468300)
95,$ABLE,ABLE GLOBAL,1.520,1.53,-0.010,-0.650%,94000,1.52,1.51,1.510 (59600),1.520 (19000)
96,$ABEL,ABLEGROUP BHD,0.070,0.08,-0.005,-6.670%,53700,0.08,0.07,0.070 (458700),0.075 (27800)
97,$ABMF,ABM FUJIYA BHD,0.290,0.32,-0.030,-9.380%,190700,0.30,0.28,0.275 (5000),0.285 (38300)
98,$ACME,ACME HOLDGS BHD,0.125,0.13,-0.005,-3.850%,11000,0.13,0.13,0.125 (20000),0.130 (500)
99,$ACOG,ACO GROUP BERHAD,0.205,0.20,0.005,2.500%,60200,0.21,0.20,0.200 (72000),0.205 (135400)
100,$AGRI,AGRICORE CS HOLD,0.470,0.47,0.000,0.000%,66700,0.47,0.47,0.470 (74300),0.475 (20000)
101,$AGXG,AGX GROUP,0.505,0.51,0.000,0.000%,45200,0.51,0.51,0.505 (7800),0.510 (30000)
102,$ARTW,AHB HOLDINGS,0.025,0.03,-0.005,-16.670%,173500,0.03,0.03,0.025 (26278500),0.030 (1669600)
103,$AZRB,AHMAD ZAKI RESOU,0.235,0.24,0.000,0.000%,906700,0.24,0.23,0.235 (72200),0.240 (972100)
104,$AIMF,AIMFLEX BHD,0.095,0.10,0.000,0.000%,726600,0.10,0.10,0.095 (2229800),0.100 (2780900)
105,$AIRX,AIRASIA X BHD,1.640,1.65,-0.010,-0.610%,257900,1.65,1.62,1.630 (42000),1.650 (37700)
106,$AIZO,AIZO GROUP,0.080,0.08,0.000,0.000%,61000,0.08,0.08,0.075 (14185800),0.080 (3260500)
107,$AJIN,AJINOMOTO MSIA,12.940,12.94,0.000,0.000%,8700,12.96,12.94,12.920 (100),12.940 (2300)
108,$AJIY,AJIYA BHD,1.750,1.78,-0.030,-1.690%,1000,1.75,1.75,1.720 (500),1.750 (10000)
109,$ALSA,AL-SALAM REAL,0.420,0.42,0.000,0.000%,61700,0.42,0.42,0.415 (4500),0.420 (1100)
110,$AGRI,AGRICORE CS HOLD,0.470,0.47,0.000,0.000%,66700,0.47,0.47,0.470 (74300),0.475 (20000)
111,$AGXG,AGX GROUP,0.505,0.51,0.000,0.000%,45200,0.51,0.51,0.505 (7800),0.510 (30000)
112,$ARTW,AHB HOLDINGS,0.025,0.03,-0.005,-16.670%,173500,0.03,0.03,0.025 (26278500),0.030 (1669600)
113,$AZRB,AHMAD ZAKI RESOU,0.235,0.24,0.000,0.000%,906700,0.24,0.23,0.235 (72200),0.240 (972100)
114,$AIMF,AIMFLEX BHD,0.095,0.10,0.000,0.000%,726600,0.10,0.10,0.095 (2229800),0.100 (2780900)
115,$AIRX,AIRASIA X BHD,1.640,1.65,-0.010,-0.610%,257900,1.65,1.62,1.630 (42000),1.650 (37700)
